Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
124	104.016846	34.872013	194.33131	17.931896	110.22652	4.878318	115.682236	101.065605	200.0	200.0	620000	81.01007	11.884034	101.95138	41.68887	-81.66139	0.69265556	5091.418009281158
125	61.21461	31.238092	111.080894	16.637413	57.860474	6.560791	67.22771	48.653255	200.0	200.0	625000	79.557014	12.389252	99.83332	38.273994	-80.24934	0.6582304	5130.808817386627
126	43.73015	36.777515	125.00806	5.1922913	51.86149	13.82716	70.73083	27.90524	200.0	200.0	630000	78.0853	11.625571	100.7343	26.919683	-78.69913	0.60198665	5172.90940117836
127	49.55273	37.01902	128.54765	1.0827914	35.036552	30.180136	93.70909	11.428601	200.0	200.0	635000	75.19359	10.394735	98.98275	27.17578	-75.72525	0.530438	5217.150215625763
128	66.40732	39.804092	146.75047	6.3756056	72.02214	24.543945	106.65904	39.67112	200.0	200.0	640000	72.204	9.6796255	92.70343	19.859848	-72.74234	0.45070225	5261.454547405243
129	93.47465	45.833126	197.43439	4.6327615	73.75689	11.264009	104.378914	60.746574	200.0	200.0	645000	71.0074	10.202908	94.21722	21.4537	-71.629684	0.4375403	5305.08021402359
130	99.016136	27.22226	186.38095	38.69737	171.06995	43.151306	204.37463	92.55689	200.0	200.0	650000	71.351685	10.79151	102.19786	21.750593	-71.99064	0.44485268	5348.974486589432
131	120.7614	33.95732	197.99326	51.31578	123.0943	26.252905	186.43063	93.18317	200.0	200.0	655000	71.80814	10.883295	111.702415	14.217173	-72.45915	0.42227882	5390.701189994812
132	127.92623	35.063293	199.39679	68.24245	164.43022	35.348587	200.95734	102.19753	200.0	200.0	660000	71.80411	10.743808	123.88989	13.713263	-72.4095	0.43844423	5434.303312301636
133	125.38526	42.204075	199.07712	26.07971	118.3196	22.325562	176.96284	92.41379	200.0	200.0	665000	71.278915	10.551384	128.82225	12.998437	-71.88109	0.45657977	5478.145501613617
134	122.00224	36.301544	199.40237	28.718409	178.48384	33.45744	206.89195	121.73606	200.0	200.0	670000	71.19682	10.45603	125.965096	20.688583	-71.80847	0.4268102	5523.111919403076
135	90.87064	44.419765	205.57002	16.88995	80.19106	16.43088	101.112915	58.35181	200.0	200.0	675000	71.36915	10.414049	123.55826	19.80221	-71.97469	0.42300317	5564.811682701111
136	88.68369	29.631727	142.01984	29.756683	75.7923	8.959392	95.99383	62.95102	200.0	200.0	680000	71.18871	10.068681	121.698456	20.821926	-71.77444	0.4114501	5608.7655239105225
137	117.865906	38.91222	198.82327	47.915882	138.13057	44.93926	196.31427	55.884583	200.0	200.0	685000	71.019585	9.772375	111.77203	22.15818	-71.60694	0.43233633	5654.771740436554
