# {"t_start": 1545431934.8073049, "env_id": null} 
r,l,t
53.664534,1000,728.247092
65.92855,1000,729.328127
72.440901,1000,730.409185
61.648152,1000,731.523448
13.479331,1000,732.625778
39.065128,1000,733.738756
14.286895,1000,734.834966
16.99361,1000,735.926339
79.50604,1000,737.008395
165.691738,1000,738.102388
57.61143,1000,739.165924
53.403235,1000,740.302375
45.724936,1000,741.399977
54.874416,1000,742.518462
56.882243,1000,743.655812
175.405574,1000,744.78366
39.039754,1000,745.87857
98.974872,1000,746.961381
135.05013,1000,748.040569
49.435895,1000,749.139239
73.446518,1000,750.238747
42.108555,1000,751.356352
80.294757,1000,752.453631
106.222214,1000,753.540742
72.985752,1000,754.639285
117.451223,1000,755.74517
51.395634,1000,756.840767
17.515596,1000,757.930508
55.809286,1000,759.032304
98.520959,1000,760.135963
55.506056,1000,761.189063
54.857867,1000,762.266762
18.63409,1000,763.364033
114.321996,1000,764.465766
70.700717,1000,765.545068
19.26766,1000,766.604482
79.207367,1000,767.683296
109.878625,1000,768.782704
84.871503,1000,769.902355
137.162866,1000,770.997265
56.514497,1000,772.095617
14.473777,1000,773.152559
19.767861,1000,774.245641
23.648313,1000,775.306832
16.451402,1000,776.412478
54.010482,1000,777.536186
17.689431,1000,778.638336
13.736277,1000,779.769356
12.304543,1000,780.891782
17.568526,1000,781.978531
13.621314,1000,783.107502
29.714724,1000,784.189871
20.152101,1000,785.316863
16.543327,1000,786.412058
13.306666,1000,787.511068
15.945659,1000,788.589848
16.066276,1000,789.645046
13.992972,1000,790.7568
22.163891,1000,791.833904
16.251031,1000,792.909222
16.903415,1000,794.006284
37.710692,1000,795.095868
122.975427,1000,796.221745
89.115015,1000,797.328209
153.784587,1000,798.449119
31.012915,1000,799.53832
184.056601,1000,800.670628
26.089351,1000,801.759561
120.854789,1000,802.896553
372.474453,1000,804.017446
481.059314,1000,805.171617
517.955466,1000,806.357337
19.338815,1000,807.438359
390.17023,1000,808.597108
258.448308,1000,809.746246
112.852379,1000,810.910948
81.785683,1000,812.035986
55.409933,1000,813.116329
92.963188,1000,814.231761
93.115423,1000,815.32711
82.503034,1000,816.432357
193.575863,1000,817.554478
276.032103,1000,818.732409
104.020906,1000,819.850592
257.084586,1000,821.022763
414.562373,1000,822.200088
60.20492,1000,823.307394
111.488489,1000,824.415956
259.921356,1000,825.607008
105.829403,1000,826.715869
239.023007,1000,827.899088
205.423359,1000,829.040586
67.048166,1000,830.17927
347.618634,1000,831.373264
139.016017,1000,832.460909
276.987829,1000,833.641346
179.247975,1000,834.750417
263.890145,1000,835.893593
188.363778,1000,837.01716
71.858932,1000,838.147696
276.825284,1000,839.243032
180.602797,1000,840.381418
108.425096,1000,841.497994
259.4702,1000,842.583284
76.429189,1000,843.682619
186.865877,1000,844.847067
166.524034,1000,846.270965
58.153631,1000,847.566984
162.314957,1000,848.953534
436.254925,1000,850.395187
157.098936,1000,851.739126
271.311647,1000,853.152861
215.400386,1000,854.565151
53.105807,1000,855.936368
163.622491,1000,857.1293
328.181616,1000,858.317875
523.612067,1000,859.476241
224.921446,1000,860.597254
624.02139,1000,861.789943
175.52989,1000,862.939939
206.323148,1000,864.085471
459.121587,1000,865.271991
596.638797,1000,866.462231
195.527571,1000,867.570451
495.856538,1000,868.788307
731.457792,1000,869.999654
544.004465,1000,871.167492
344.323884,1000,872.377599
208.405578,1000,873.549026
124.897015,1000,874.702319
165.871972,1000,875.77932
