# {"t_start": 1545445904.3468816, "env_id": null} 
r,l,t
75.037492,1000,1085.348721
394.831679,1000,1086.552025
158.295697,1000,1087.740247
99.008273,1000,1088.864894
245.042081,1000,1090.017479
113.382564,1000,1091.080918
174.305425,1000,1092.164225
54.56132,1000,1093.298534
21.883024,1000,1094.453915
128.867751,1000,1095.606508
34.000831,1000,1096.769051
184.438012,1000,1097.946404
48.740979,1000,1099.101342
19.893829,1000,1100.235054
91.925459,1000,1101.365285
11.269503,1000,1102.508349
40.802376,1000,1103.602252
22.137872,1000,1104.675879
90.333982,1000,1105.789287
52.084818,1000,1106.929644
46.032549,1000,1108.01776
33.392576,1000,1109.160415
61.823208,1000,1110.282452
71.784108,1000,1111.432863
43.123453,1000,1112.534834
45.504255,1000,1113.690776
63.877209,1000,1114.781473
49.437843,1000,1115.859191
37.19118,1000,1116.918759
77.121332,1000,1118.025296
51.685417,1000,1119.105645
14.177427,1000,1120.160425
157.226865,1000,1121.319471
17.850216,1000,1122.446857
145.146181,1000,1123.557082
68.661557,1000,1124.652646
70.59222,1000,1125.787767
68.449711,1000,1126.850645
75.784772,1000,1127.886
60.962139,1000,1128.941429
53.530498,1000,1130.030648
76.610268,1000,1131.134113
203.790915,1000,1132.241269
111.233354,1000,1133.384513
276.871662,1000,1134.522058
97.537063,1000,1135.648517
55.720693,1000,1136.771048
143.789751,1000,1137.995747
46.721205,1000,1139.112594
56.88008,1000,1140.153957
57.552307,1000,1141.195221
108.442226,1000,1142.307702
155.496054,1000,1143.409225
110.892298,1000,1144.492008
37.225254,1000,1145.549054
170.346509,1000,1146.70951
113.607115,1000,1147.84816
129.46665,1000,1148.976572
107.572283,1000,1150.120111
57.814795,1000,1151.208123
122.568056,1000,1152.336507
94.094136,1000,1153.45541
113.796042,1000,1154.569561
63.181097,1000,1155.669175
52.797961,1000,1156.734387
155.654034,1000,1157.800382
74.999208,1000,1158.850202
66.947254,1000,1159.900941
68.010678,1000,1160.952417
160.642116,1000,1162.020241
103.961613,1000,1163.108997
37.586607,1000,1164.195882
42.63088,1000,1165.325672
57.617404,1000,1166.370669
67.213335,1000,1167.436708
104.449525,1000,1168.53222
43.23679,1000,1169.615273
27.815948,1000,1170.718681
39.395361,1000,1171.801235
57.890595,1000,1172.91971
26.022181,1000,1174.008107
50.943006,1000,1175.088443
60.394956,1000,1176.191633
171.042062,1000,1177.342053
22.067258,1000,1178.471928
38.745491,1000,1179.594537
58.778323,1000,1180.708985
62.938881,1000,1181.818258
86.11706,1000,1182.911888
