Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
70	180.95676	38.2151	203.26651	62.4312	202.23639	2.2113068	206.1107	198.84724	200.0	200.0	350000	73.03337	14.725253	90.88441	9.490561	73.03331	14.725858	90.9296	6.895412	-74.00294	1.9670942	3027.190087556839
71	187.60258	21.70479	202.89671	116.44849	198.4594	1.8280908	201.01328	194.84782	200.0	200.0	355000	73.36544	14.788787	92.81932	6.0680156	73.36539	14.790654	92.24873	10.445239	-74.26165	2.083476	3077.108856201172
72	192.93933	11.296937	203.71692	143.69272	198.00725	3.2338033	202.6787	192.59528	200.0	200.0	360000	73.96016	14.847916	100.73065	3.750762	73.96017	14.8494005	99.43587	5.6092567	-74.8946	2.157739	3128.1004362106323
73	182.4802	33.514732	203.09413	61.9304	190.13718	26.37303	205.06909	114.61268	200.0	200.0	365000	74.47441	14.683585	101.563896	3.304895	74.474365	14.684615	100.79745	5.6691284	-75.38599	2.0704837	3176.345168352127
74	161.45781	51.748848	202.0417	30.002275	199.90746	4.964757	207.61739	190.8074	200.0	200.0	370000	75.13132	14.374388	111.63152	14.192069	75.13129	14.375109	111.71494	13.770078	-76.03304	1.8271652	3223.8143949508667
75	170.67943	45.021015	205.02881	25.310318	194.51987	8.655332	207.29282	179.78755	200.0	200.0	375000	75.493675	13.779003	115.16953	12.493143	75.49367	13.780116	115.10535	12.414414	-76.461464	1.8438221	3270.80818772316
76	179.22182	39.22606	205.31938	75.76965	200.57224	3.0102966	206.32948	196.62723	200.0	200.0	380000	75.782	13.311443	129.2665	10.508894	75.782	13.312932	126.818474	10.2189455	-76.82032	1.8241588	3320.8563838005066
77	182.08456	32.583122	203.4413	97.88879	201.2103	2.1660519	204.99324	198.51338	200.0	200.0	385000	76.252945	13.077202	141.59209	12.321057	76.25298	13.078411	141.81056	12.40847	-77.299	2.0018125	3368.5837683677673
78	180.01927	48.118103	204.5419	29.51804	200.71216	2.6806362	204.58902	195.48788	200.0	200.0	390000	76.770096	12.815111	156.4702	15.703482	76.770004	12.816104	156.56836	15.918803	-77.63516	1.7261707	3418.4014296531677
79	171.05684	55.07015	202.21504	4.6429954	161.43716	74.32316	204.67365	9.449429	200.0	200.0	395000	77.03764	13.318704	171.72246	15.0922165	77.03751	13.321857	171.5305	15.602145	-77.93025	2.0156348	3466.025351047516
80	80.33033	68.22045	197.60849	3.5149968	142.56839	78.9806	205.65775	14.625134	200.0	200.0	400000	77.66487	14.023128	175.06439	17.265518	77.664764	14.025234	174.02884	15.383719	-78.62	2.2691221	3510.2761750221252
81	116.30856	66.422905	202.05486	11.219499	181.82994	55.793964	203.56104	14.509095	200.0	200.0	405000	77.85213	14.821994	164.6782	14.929415	77.85195	14.82413	165.5	16.08841	-78.81639	2.4940476	3555.9014744758606
82	69.501465	57.557446	201.3304	0.43603152	72.901634	43.15027	130.2503	12.107195	200.0	200.0	410000	78.77053	15.026934	169.91992	6.8122296	78.77046	15.02751	169.75987	5.782022	-79.792	2.5310223	3599.5104324817657
83	89.89331	52.195053	194.8187	11.374721	99.035095	64.61767	195.47627	6.7077074	200.0	200.0	415000	80.14799	15.630002	196.2656	16.664083	80.14793	15.630842	197.42198	17.615555	-81.374855	2.8617747	3644.869897842407
84	50.80476	46.600533	184.77126	4.9691405	127.3558	68.22646	199.73373	8.293408	200.0	200.0	420000	82.11829	16.409912	226.10126	17.007078	82.11831	16.410461	224.06204	12.836184	-83.369736	3.4515996	3687.759415626526
85	68.6718	59.310856	197.114	0.4533825	186.92725	26.582325	199.78265	107.46013	200.0	200.0	425000	83.80972	17.781084	263.78867	14.87462	83.809654	17.783665	264.75247	14.485377	-85.24281	5.496468	3731.6611046791077
86	50.090733	75.52924	200.26602	0.21488602	0.36919084	0.14940357	0.6418453	0.1734134	200.0	200.0	430000	97.59514	32.14439	294.8624	3.4180665	97.59524	32.14844	292.97363	5.2092266	-104.530975	13.860142	3774.4413228034973
87	0.7638678	2.019589	10.483456	0.08251618	0.2324135	0.052704684	0.32145098	0.1623518	200.0	200.0	435000	184.89557	52.08844	299.23065	-0.560557	184.89566	52.090706	298.22708	2.2526834	-196.52292	29.7813	3813.4527764320374
